Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 18 2015,8:00 PM,Portland Trail Blazers,103,Houston Rockets,108,Box Score,OT,17107,
Wed Nov 18 2015,8:00 PM,New Orleans Pelicans,103,Oklahoma City Thunder,110,Box Score,,18203,
Wed Nov 18 2015,7:00 PM,Minnesota Timberwolves,101,Orlando Magic,104,Box Score,OT,16048,
Wed Nov 18 2015,7:00 PM,Indiana Pacers,112,Philadelphia 76ers,85,Box Score,,11080,
Wed Nov 18 2015,10:30 PM,Chicago Bulls,103,Phoenix Suns,97,Box Score,,17377,
Wed Nov 18 2015,8:30 PM,Denver Nuggets,98,San Antonio Spurs,109,Box Score,,18418,
Wed Nov 18 2015,9:00 PM,Toronto Raptors,89,Utah Jazz,93,Box Score,,18741,
Thu Nov 19 2015,8:00 PM,Milwaukee Bucks,100,Cleveland Cavaliers,115,Box Score,,20562,
Thu Nov 19 2015,10:30 PM,Golden State Warriors,124,Los Angeles Clippers,117,Box Score,,19528,
Thu Nov 19 2015,7:30 PM,Sacramento Kings,109,Miami Heat,116,Box Score,,19600,
Fri Nov 20 2015,7:30 PM,Brooklyn Nets,95,Boston Celtics,120,Box Score,,18361,
Fri Nov 20 2015,7:00 PM,Philadelphia 76ers,88,Charlotte Hornets,113,Box Score,,17926,
Fri Nov 20 2015,8:30 PM,Utah Jazz,93,Dallas Mavericks,102,Box Score,,20028,
Fri Nov 20 2015,9:00 PM,Phoenix Suns,114,Denver Nuggets,107,Box Score,,12264,
Fri Nov 20 2015,10:30 PM,Chicago Bulls,94,Golden State Warriors,106,Box Score,,19596,
Fri Nov 20 2015,10:30 PM,Toronto Raptors,102,Los Angeles Lakers,91,Box Score,,18997,
Fri Nov 20 2015,8:00 PM,Houston Rockets,84,Memphis Grizzlies,96,Box Score,,17555,
Fri Nov 20 2015,8:00 PM,Detroit Pistons,96,Minnesota Timberwolves,86,Box Score,,13445,
Fri Nov 20 2015,8:00 PM,San Antonio Spurs,90,New Orleans Pelicans,104,Box Score,,16698,
Fri Nov 20 2015,8:00 PM,New York Knicks,93,Oklahoma City Thunder,90,Box Score,,18203,
Fri Nov 20 2015,10:00 PM,Los Angeles Clippers,91,Portland Trail Blazers,102,Box Score,,19393,
Sat Nov 21 2015,7:30 PM,Atlanta Hawks,97,Cleveland Cavaliers,109,Box Score,,20562,
